name,sku,category,length_cm,width_cm,height_cm,weight_kg,monthly_order_volume
Keyboard 0363,ELE-0363,Electronics,47.5,12.1,2.3,0.93,83
Laptop 0364,ELE-0364,Electronics,38.5,21.5,2.0,1.85,108
SSD Drive 0365,ELE-0365,Electronics,13.0,9.3,1.5,0.13,60
Board Game 0366,TOY-0366,Toys,34.1,38.1,9.9,1.17,94
Laptop 0367,ELE-0367,Electronics,39.7,23.9,2.0,1.92,48
Jeans 0368,CLO-0368,Clothing,36.4,28.8,5.5,0.56,43
Mouse 0369,ELE-0369,Electronics,13.9,7.2,3.2,0.29,49
Jeans 0370,CLO-0370,Clothing,38.5,28.1,5.8,0.58,180
T-Shirt 0371,CLO-0371,Clothing,31.5,20.1,4.9,0.15,94
Monitor 0372,ELE-0372,Electronics,63.4,46.0,6.7,4.8,59
Stuffed Animal 0373,TOY-0373,Toys,29.1,27.1,26.6,0.45,87
Keyboard 0374,ELE-0374,Electronics,48.0,12.5,2.4,0.88,46
Webcam 0375,ELE-0375,Electronics,11.4,5.9,6.1,0.24,172
Socks 0376,CLO-0376,Clothing,16.5,13.3,3.1,0.13,91
T-Shirt 0377,CLO-0377,Clothing,31.5,25.0,2.9,0.17,87
Mouse 0378,ELE-0378,Electronics,12.6,7.6,3.2,0.29,203
Puzzle 0379,TOY-0379,Toys,39.5,22.3,4.0,0.76,211
Jeans 0380,CLO-0380,Clothing,34.8,33.4,3.1,0.52,104
Magazine 0381,BOO-0381,Books,31.0,24.8,1.1,0.38,99
Monitor 0382,ELE-0382,Electronics,65.0,47.5,6.0,5.68,55
Mouse 0383,ELE-0383,Electronics,13.3,9.4,4.7,0.25,441
Magazine 0384,BOO-0384,Books,33.5,26.8,1.3,0.33,87
Board Game 0385,TOY-0385,Toys,26.4,35.6,6.3,1.39,113
SSD Drive 0386,ELE-0386,Electronics,12.1,8.2,1.0,0.12,42
Glass Vase 0387,FRA-0387,Fragile,24.5,24.9,27.6,0.97,109
Jeans 0388,CLO-0388,Clothing,37.4,32.6,5.7,0.51,85
Puzzle 0389,TOY-0389,Toys,36.5,26.9,4.3,0.7,120
Ceramic Mug 0390,FRA-0390,Fragile,12.8,10.1,14.6,0.5,115
Board Game 0391,TOY-0391,Toys,39.2,37.4,8.7,0.97,46
Stuffed Animal 0392,TOY-0392,Toys,36.1,24.4,29.3,0.24,217
USB Cable 0393,ELE-0393,Electronics,18.5,14.6,3.9,0.21,945
Webcam 0394,ELE-0394,Electronics,11.3,5.0,7.6,0.24,226
Textbook 0395,BOO-0395,Books,26.8,22.9,5.3,1.02,45
T-Shirt 0396,CLO-0396,Clothing,27.6,26.2,3.5,0.28,57
Mouse 0397,ELE-0397,Electronics,13.9,7.0,3.4,0.15,118
Magazine 0398,BOO-0398,Books,34.1,20.3,1.3,0.45,45
Hardcover Book 0399,BOO-0399,Books,24.9,24.9,4.7,0.97,1113
T-Shirt 0400,CLO-0400,Clothing,30.6,21.7,5.0,0.26,168
Puzzle 0401,TOY-0401,Toys,39.9,28.4,5.1,0.46,100
Headphones 0402,ELE-0402,Electronics,20.9,17.5,6.4,0.3,112
Monitor 0403,ELE-0403,Electronics,52.1,47.0,6.2,7.2,44
Monitor 0404,ELE-0404,Electronics,51.5,33.4,8.4,4.95,98
Board Game 0405,TOY-0405,Toys,33.6,35.0,5.7,1.19,87
Keyboard 0406,ELE-0406,Electronics,45.1,13.0,2.0,0.97,47
Glass Vase 0407,FRA-0407,Fragile,16.1,23.8,32.6,0.5,47
Stuffed Animal 0408,TOY-0408,Toys,37.1,29.0,23.2,0.27,81
USB Cable 0409,ELE-0409,Electronics,24.7,13.0,3.6,0.21,46
Magazine 0410,BOO-0410,Books,27.9,21.0,1.3,0.47,54
Puzzle 0411,TOY-0411,Toys,41.2,34.6,6.0,1.0,164
Keyboard 0412,ELE-0412,Electronics,49.9,14.8,3.9,0.53,109
Laptop 0413,ELE-0413,Electronics,34.8,29.1,3.3,1.82,41
Board Game 0414,TOY-0414,Toys,26.7,25.9,5.5,1.05,98
Jacket 0415,CLO-0415,Clothing,54.5,48.4,9.0,1.14,112
Puzzle 0416,TOY-0416,Toys,38.9,29.7,4.4,0.91,99
Puzzle 0417,TOY-0417,Toys,36.1,22.4,3.4,0.9,52
USB Cable 0418,ELE-0418,Electronics,21.6,10.9,3.7,0.22,119
Stuffed Animal 0419,TOY-0419,Toys,24.6,18.6,26.2,0.78,1108
SSD Drive 0420,ELE-0420,Electronics,13.5,8.6,1.2,0.13,40
Phone Case 0421,ELE-0421,Electronics,17.4,9.4,1.6,0.08,84
Jeans 0422,CLO-0422,Clothing,32.6,28.2,3.3,0.63,114
Action Figure 0423,TOY-0423,Toys,21.4,15.1,5.2,0.39,207
Paperback Book 0424,BOO-0424,Books,20.2,12.1,2.7,0.37,204
Webcam 0425,ELE-0425,Electronics,9.9,7.4,7.2,0.34,51
Hardcover Book 0426,BOO-0426,Books,25.0,18.7,3.0,0.55,95
Ceramic Mug 0427,FRA-0427,Fragile,14.9,10.2,14.8,0.41,55
Hardcover Book 0428,BOO-0428,Books,27.1,15.2,5.0,1.09,186
Jeans 0429,CLO-0429,Clothing,36.0,27.5,3.1,0.7,196
Mouse 0430,ELE-0430,Electronics,11.4,8.8,4.8,0.29,218
Laptop 0431,ELE-0431,Electronics,39.3,20.7,3.2,2.83,161
Hardcover Book 0432,BOO-0432,Books,21.1,17.0,4.8,0.86,103
Stuffed Animal 0433,TOY-0433,Toys,35.9,24.2,27.2,0.33,85
Paperback Book 0434,BOO-0434,Books,24.2,17.6,2.2,0.42,191
Textbook 0435,BOO-0435,Books,25.6,22.0,4.9,2.49,120
Keyboard 0436,ELE-0436,Electronics,41.0,13.6,3.8,0.9,54
Paperback Book 0437,BOO-0437,Books,19.4,13.4,2.4,0.43,94
Hardcover Book 0438,BOO-0438,Books,22.4,18.5,2.6,1.39,85
Action Figure 0439,TOY-0439,Toys,16.7,11.9,6.3,0.39,92
Keyboard 0440,ELE-0440,Electronics,41.9,14.8,2.7,0.63,42
Picture Frame 0441,FRA-0441,Fragile,26.3,16.0,3.2,0.72,89
Board Game 0442,TOY-0442,Toys,37.7,32.7,6.1,1.17,211
Board Game 0443,TOY-0443,Toys,29.5,31.6,5.1,0.89,107
Paperback Book 0444,BOO-0444,Books,22.9,15.6,1.6,0.36,53
Puzzle 0445,TOY-0445,Toys,32.6,22.2,5.7,0.76,111
Shoes 0446,CLO-0446,Clothing,26.3,23.7,10.4,0.65,117
Board Game 0447,TOY-0447,Toys,27.2,31.3,9.9,0.8,54
SSD Drive 0448,ELE-0448,Electronics,14.3,7.8,1.3,0.18,90
Picture Frame 0449,FRA-0449,Fragile,24.2,23.0,3.4,0.94,45
Stuffed Animal 0450,TOY-0450,Toys,36.2,16.6,16.2,0.51,90
Glass Vase 0451,FRA-0451,Fragile,17.9,22.9,29.6,0.57,95
Shoes 0452,CLO-0452,Clothing,26.4,17.7,13.0,0.96,44
Stuffed Animal 0453,TOY-0453,Toys,38.7,17.1,16.2,0.27,213
Monitor 0454,ELE-0454,Electronics,57.8,35.2,9.0,5.25,418
Puzzle 0455,TOY-0455,Toys,39.0,22.3,4.9,0.43,102
Jacket 0456,CLO-0456,Clothing,54.3,38.6,10.0,0.8,55
Socks 0457,CLO-0457,Clothing,15.4,14.2,3.6,0.14,40
Textbook 0458,BOO-0458,Books,27.4,22.6,4.8,1.73,232
Puzzle 0459,TOY-0459,Toys,41.7,23.7,3.6,0.46,173
Monitor 0460,ELE-0460,Electronics,67.5,40.5,6.5,4.75,1143
Board Game 0461,TOY-0461,Toys,27.8,36.4,8.5,0.93,44
Phone Case 0462,ELE-0462,Electronics,17.3,8.5,1.6,0.06,43
Mouse 0463,ELE-0463,Electronics,14.9,7.6,3.7,0.23,93
Phone Case 0464,ELE-0464,Electronics,18.0,9.9,1.9,0.14,95
Headphones 0465,ELE-0465,Electronics,20.3,18.8,6.2,0.28,56
Jacket 0466,CLO-0466,Clothing,44.4,46.5,8.1,0.62,429
Webcam 0467,ELE-0467,Electronics,8.7,6.5,6.3,0.25,94
Laptop 0468,ELE-0468,Electronics,31.9,27.1,2.6,2.65,84
Jacket 0469,CLO-0469,Clothing,52.1,40.3,9.4,0.91,167
Webcam 0470,ELE-0470,Electronics,11.8,7.0,7.5,0.31,54
Puzzle 0471,TOY-0471,Toys,44.2,33.6,3.1,0.66,90
Ceramic Mug 0472,FRA-0472,Fragile,14.2,13.9,14.6,0.42,85
Mouse 0473,ELE-0473,Electronics,10.8,9.9,3.6,0.23,198
Puzzle 0474,TOY-0474,Toys,33.2,26.9,3.2,0.92,188
Paperback Book 0475,BOO-0475,Books,22.2,12.8,2.6,0.22,44
Shoes 0476,CLO-0476,Clothing,32.3,16.0,12.7,0.73,43
Puzzle 0477,TOY-0477,Toys,42.4,29.6,4.0,0.76,59
Keyboard 0478,ELE-0478,Electronics,45.1,12.1,2.3,0.54,222
Webcam 0479,ELE-0479,Electronics,9.8,6.1,5.5,0.22,49
Magazine 0480,BOO-0480,Books,28.2,21.1,1.0,0.3,101
Mouse 0481,ELE-0481,Electronics,14.7,9.0,3.1,0.14,119
Textbook 0482,BOO-0482,Books,25.5,23.2,5.7,1.36,42
Picture Frame 0483,FRA-0483,Fragile,22.2,28.5,4.2,1.05,235
Laptop 0484,ELE-0484,Electronics,33.4,21.9,2.9,2.7,118
Shoes 0485,CLO-0485,Clothing,28.4,17.7,13.7,0.91,119
Paperback Book 0486,BOO-0486,Books,18.8,13.7,2.5,0.44,113
Power Bank 0487,ELE-0487,Electronics,13.1,6.4,2.5,0.39,112
Puzzle 0488,TOY-0488,Toys,38.7,30.1,3.3,0.48,41
Webcam 0489,ELE-0489,Electronics,11.0,5.5,7.9,0.35,507
Magazine 0490,BOO-0490,Books,29.9,21.8,1.0,0.24,402
Socks 0491,CLO-0491,Clothing,20.9,11.8,2.7,0.12,49
Board Game 0492,TOY-0492,Toys,37.0,25.2,7.5,1.26,555
USB Cable 0493,ELE-0493,Electronics,23.5,10.2,2.7,0.23,112
Hardcover Book 0494,BOO-0494,Books,26.0,16.9,2.5,0.7,94
Picture Frame 0495,FRA-0495,Fragile,33.1,27.7,3.3,0.52,47
Glass Vase 0496,FRA-0496,Fragile,24.8,17.1,29.4,0.59,83
Headphones 0497,ELE-0497,Electronics,23.5,16.6,9.1,0.43,81
Monitor 0498,ELE-0498,Electronics,53.3,45.1,8.7,6.82,175
Jeans 0499,CLO-0499,Clothing,35.9,30.7,5.4,0.59,85
Laptop 0500,ELE-0500,Electronics,36.3,24.6,2.4,2.89,166
Board Game 0501,TOY-0501,Toys,32.1,33.6,9.7,1.45,48
Textbook 0502,BOO-0502,Books,26.7,20.7,5.3,1.56,109
Power Bank 0503,ELE-0503,Electronics,14.1,9.3,3.2,0.58,112
Keyboard 0504,ELE-0504,Electronics,44.2,15.6,2.5,0.61,90
Puzzle 0505,TOY-0505,Toys,38.2,30.2,5.3,0.96,110
Glass Vase 0506,FRA-0506,Fragile,21.6,16.6,27.1,0.62,116
Headphones 0507,ELE-0507,Electronics,23.7,15.7,9.4,0.39,45
Picture Frame 0508,FRA-0508,Fragile,34.7,28.4,4.5,1.06,201
Jeans 0509,CLO-0509,Clothing,36.4,25.1,5.0,0.74,42
Jacket 0510,CLO-0510,Clothing,42.4,36.8,6.4,0.68,220
Textbook 0511,BOO-0511,Books,34.9,22.0,3.5,2.25,52
Ceramic Mug 0512,FRA-0512,Fragile,11.3,10.3,10.9,0.5,113
Monitor 0513,ELE-0513,Electronics,55.3,35.8,7.5,5.09,98
USB Cable 0514,ELE-0514,Electronics,15.7,10.6,3.8,0.16,209
Phone Case 0515,ELE-0515,Electronics,16.9,8.8,2.0,0.12,222
Headphones 0516,ELE-0516,Electronics,19.6,19.3,9.7,0.29,117
Jeans 0517,CLO-0517,Clothing,36.7,33.3,3.7,0.65,85
T-Shirt 0518,CLO-0518,Clothing,28.4,23.7,3.9,0.17,182
USB Cable 0519,ELE-0519,Electronics,19.2,11.6,3.9,0.2,81
USB Cable 0520,ELE-0520,Electronics,22.2,14.5,3.4,0.22,91
T-Shirt 0521,CLO-0521,Clothing,26.1,24.8,3.4,0.15,451
Webcam 0522,ELE-0522,Electronics,11.5,5.3,8.0,0.33,118
Webcam 0523,ELE-0523,Electronics,10.7,6.5,5.7,0.21,110
Glass Vase 0524,FRA-0524,Fragile,19.9,17.2,28.4,0.82,108
Shoes 0525,CLO-0525,Clothing,32.8,15.3,11.8,0.61,43
Textbook 0526,BOO-0526,Books,26.8,24.3,4.9,2.1,202
Jacket 0527,CLO-0527,Clothing,48.3,40.0,8.1,0.8,102
Picture Frame 0528,FRA-0528,Fragile,26.5,22.7,3.4,1.43,51
Stuffed Animal 0529,TOY-0529,Toys,30.4,25.4,22.5,0.59,229
Jacket 0530,CLO-0530,Clothing,49.7,48.8,6.5,0.96,116
SSD Drive 0531,ELE-0531,Electronics,13.5,9.8,2.1,0.18,43
Puzzle 0532,TOY-0532,Toys,42.7,31.0,3.1,0.76,99
Jeans 0533,CLO-0533,Clothing,39.6,27.3,4.4,0.66,57
Jacket 0534,CLO-0534,Clothing,47.3,42.6,9.8,0.81,811
Picture Frame 0535,FRA-0535,Fragile,36.2,18.9,4.2,0.59,183
Mouse 0536,ELE-0536,Electronics,14.8,7.5,4.2,0.13,87
Stuffed Animal 0537,TOY-0537,Toys,33.7,19.5,26.4,0.77,120
Puzzle 0538,TOY-0538,Toys,37.1,22.3,5.7,0.47,86
Hardcover Book 0539,BOO-0539,Books,24.3,16.2,2.6,1.47,569
Laptop 0540,ELE-0540,Electronics,36.1,21.0,3.3,2.07,45
Stuffed Animal 0541,TOY-0541,Toys,26.1,24.2,25.8,0.32,210
Jacket 0542,CLO-0542,Clothing,50.9,48.7,6.6,0.88,53
Ceramic Mug 0543,FRA-0543,Fragile,12.8,14.5,10.7,0.38,56
Jeans 0544,CLO-0544,Clothing,32.0,25.9,4.7,0.51,81
Ceramic Mug 0545,FRA-0545,Fragile,14.9,12.9,14.9,0.31,49
Mouse 0546,ELE-0546,Electronics,11.2,8.2,3.9,0.23,48
T-Shirt 0547,CLO-0547,Clothing,32.4,21.9,3.9,0.23,57
Webcam 0548,ELE-0548,Electronics,11.8,6.2,5.1,0.5,446
Shoes 0549,CLO-0549,Clothing,27.3,22.5,10.2,0.85,111
SSD Drive 0550,ELE-0550,Electronics,10.8,8.0,2.0,0.14,80
Monitor 0551,ELE-0551,Electronics,60.5,47.7,8.7,6.14,49
Hardcover Book 0552,BOO-0552,Books,24.9,18.3,2.1,1.41,100
Jacket 0553,CLO-0553,Clothing,54.2,43.4,8.6,1.04,179
Textbook 0554,BOO-0554,Books,25.1,26.9,6.0,1.84,83
Hardcover Book 0555,BOO-0555,Books,20.3,22.9,3.3,1.22,87
Glass Vase 0556,FRA-0556,Fragile,17.3,18.9,21.3,1.28,45
Board Game 0557,TOY-0557,Toys,31.5,26.8,6.3,0.57,438
T-Shirt 0558,CLO-0558,Clothing,31.9,23.2,3.7,0.17,80
Socks 0559,CLO-0559,Clothing,15.9,13.4,2.2,0.08,90
Keyboard 0560,ELE-0560,Electronics,46.0,12.8,2.2,1.2,92
Hardcover Book 0561,BOO-0561,Books,24.5,17.7,3.7,1.47,187
Jacket 0562,CLO-0562,Clothing,45.7,47.9,6.8,1.12,427
Power Bank 0563,ELE-0563,Electronics,17.9,9.6,2.0,0.33,49
Board Game 0564,TOY-0564,Toys,28.6,38.0,9.5,0.91,85
Board Game 0565,TOY-0565,Toys,36.5,25.0,5.8,0.83,192
Jeans 0566,CLO-0566,Clothing,32.3,27.1,3.0,0.51,53
Paperback Book 0567,BOO-0567,Books,22.9,12.9,2.7,0.28,53
SSD Drive 0568,ELE-0568,Electronics,11.1,8.4,2.3,0.16,48
T-Shirt 0569,CLO-0569,Clothing,27.0,22.6,2.3,0.22,96
Mouse 0570,ELE-0570,Electronics,10.7,8.5,3.0,0.12,86
Paperback Book 0571,BOO-0571,Books,24.8,16.5,2.0,0.25,93
Hardcover Book 0572,BOO-0572,Books,23.8,16.7,4.1,0.65,218
Jeans 0573,CLO-0573,Clothing,30.7,28.0,4.0,0.73,81
USB Cable 0574,ELE-0574,Electronics,18.2,11.8,2.1,0.12,231
Jacket 0575,CLO-0575,Clothing,45.3,43.5,7.9,0.86,99
Monitor 0576,ELE-0576,Electronics,59.7,31.1,5.6,3.2,41
Magazine 0577,BOO-0577,Books,32.2,27.3,1.0,0.35,46
T-Shirt 0578,CLO-0578,Clothing,32.2,22.1,2.7,0.3,110
Headphones 0579,ELE-0579,Electronics,23.4,18.0,7.6,0.39,49
Glass Vase 0580,FRA-0580,Fragile,23.3,24.4,24.3,0.88,227
Mouse 0581,ELE-0581,Electronics,14.3,9.6,3.1,0.22,43
Puzzle 0582,TOY-0582,Toys,40.9,25.2,5.7,0.51,1140
Magazine 0583,BOO-0583,Books,28.9,26.9,0.7,0.4,221
Socks 0584,CLO-0584,Clothing,20.6,13.3,2.8,0.07,54
Monitor 0585,ELE-0585,Electronics,65.7,33.8,9.8,7.91,106
T-Shirt 0586,CLO-0586,Clothing,28.8,23.0,4.7,0.2,536
Stuffed Animal 0587,TOY-0587,Toys,33.4,26.8,18.9,0.62,48
Webcam 0588,ELE-0588,Electronics,9.0,7.9,5.6,0.39,174
Power Bank 0589,ELE-0589,Electronics,15.5,8.2,2.7,0.53,811
Puzzle 0590,TOY-0590,Toys,40.3,29.0,3.0,0.44,52
Magazine 0591,BOO-0591,Books,29.3,22.4,0.8,0.44,179
USB Cable 0592,ELE-0592,Electronics,21.2,11.9,2.5,0.28,42
T-Shirt 0593,CLO-0593,Clothing,33.7,25.4,2.5,0.23,222
Jacket 0594,CLO-0594,Clothing,43.6,48.9,6.9,1.02,206
Stuffed Animal 0595,TOY-0595,Toys,27.6,20.8,15.6,0.69,40
Magazine 0596,BOO-0596,Books,27.0,23.5,1.2,0.38,110
Jacket 0597,CLO-0597,Clothing,44.1,37.3,9.9,0.96,119
Ceramic Mug 0598,FRA-0598,Fragile,13.2,13.0,10.7,0.49,46
Puzzle 0599,TOY-0599,Toys,44.8,23.2,3.0,0.85,575
Jeans 0600,CLO-0600,Clothing,31.6,33.9,3.5,0.61,107
Textbook 0601,BOO-0601,Books,30.7,28.0,4.2,2.47,99
SSD Drive 0602,ELE-0602,Electronics,13.8,8.8,1.6,0.12,91
Shoes 0603,CLO-0603,Clothing,26.1,19.5,10.9,0.99,89
Action Figure 0604,TOY-0604,Toys,24.0,14.8,5.6,0.35,163
Action Figure 0605,TOY-0605,Toys,20.2,15.0,6.9,0.36,52
Webcam 0606,ELE-0606,Electronics,11.5,6.8,6.6,0.42,207
Jacket 0607,CLO-0607,Clothing,48.3,49.5,9.9,0.82,88
T-Shirt 0608,CLO-0608,Clothing,31.5,24.2,2.8,0.25,81
Socks 0609,CLO-0609,Clothing,19.6,10.6,2.6,0.09,199
Hardcover Book 0610,BOO-0610,Books,20.6,17.1,3.9,1.03,236
Keyboard 0611,ELE-0611,Electronics,40.9,16.9,3.4,0.83,97
Glass Vase 0612,FRA-0612,Fragile,18.6,21.5,32.5,1.4,83
Mouse 0613,ELE-0613,Electronics,12.5,7.7,3.7,0.26,835
Puzzle 0614,TOY-0614,Toys,37.6,30.1,4.8,0.76,50
Webcam 0615,ELE-0615,Electronics,11.8,6.6,5.8,0.44,88
Stuffed Animal 0616,TOY-0616,Toys,32.3,22.1,19.6,0.55,96
Laptop 0617,ELE-0617,Electronics,30.2,25.8,2.6,2.91,46
Picture Frame 0618,FRA-0618,Fragile,31.2,19.9,4.2,1.15,94
Headphones 0619,ELE-0619,Electronics,18.2,16.6,9.7,0.47,240
Keyboard 0620,ELE-0620,Electronics,48.3,12.2,2.8,0.52,89
Magazine 0621,BOO-0621,Books,25.1,26.5,1.1,0.22,48
Paperback Book 0622,BOO-0622,Books,19.2,12.7,2.4,0.45,86
Headphones 0623,ELE-0623,Electronics,21.4,16.1,9.9,0.26,223
Magazine 0624,BOO-0624,Books,31.3,25.0,1.3,0.34,59
Jacket 0625,CLO-0625,Clothing,53.2,45.5,5.6,0.62,100
Power Bank 0626,ELE-0626,Electronics,13.6,6.3,2.4,0.38,84
Paperback Book 0627,BOO-0627,Books,20.5,16.4,2.9,0.46,88
Jacket 0628,CLO-0628,Clothing,45.7,40.5,7.1,1.19,192
Textbook 0629,BOO-0629,Books,33.2,26.8,3.5,1.21,55
Board Game 0630,TOY-0630,Toys,28.8,39.6,6.5,0.97,571
USB Cable 0631,ELE-0631,Electronics,20.5,14.3,3.0,0.15,83
Keyboard 0632,ELE-0632,Electronics,43.9,16.1,3.8,1.09,185
Headphones 0633,ELE-0633,Electronics,19.9,19.9,9.1,0.34,105
Board Game 0634,TOY-0634,Toys,26.0,33.0,9.2,1.08,111
Power Bank 0635,ELE-0635,Electronics,17.8,8.3,3.9,0.57,56
Keyboard 0636,ELE-0636,Electronics,40.6,12.9,3.9,1.12,175
Jeans 0637,CLO-0637,Clothing,30.4,30.2,5.0,0.78,240
Mouse 0638,ELE-0638,Electronics,11.9,9.4,4.7,0.27,111
Puzzle 0639,TOY-0639,Toys,43.0,20.7,5.2,0.83,60
SSD Drive 0640,ELE-0640,Electronics,13.2,7.5,2.5,0.18,184
Monitor 0641,ELE-0641,Electronics,64.0,43.1,8.1,3.75,109
Ceramic Mug 0642,FRA-0642,Fragile,10.3,12.3,14.6,0.46,180
Shoes 0643,CLO-0643,Clothing,28.6,16.2,11.1,0.56,55
Monitor 0644,ELE-0644,Electronics,51.1,49.8,7.9,7.43,41
Laptop 0645,ELE-0645,Electronics,30.3,26.1,4.8,1.59,84
Laptop 0646,ELE-0646,Electronics,32.2,24.4,4.3,1.85,98
Webcam 0647,ELE-0647,Electronics,11.7,7.4,5.4,0.23,56
Action Figure 0648,TOY-0648,Toys,23.2,15.4,6.6,0.17,166
Power Bank 0649,ELE-0649,Electronics,13.2,9.5,2.2,0.52,92
Magazine 0650,BOO-0650,Books,27.6,23.2,1.1,0.22,105
Board Game 0651,TOY-0651,Toys,30.5,25.6,7.4,0.85,110
Headphones 0652,ELE-0652,Electronics,21.4,16.8,8.7,0.47,116
USB Cable 0653,ELE-0653,Electronics,24.2,12.8,4.0,0.24,52
Webcam 0654,ELE-0654,Electronics,9.4,6.1,7.3,0.33,114
Keyboard 0655,ELE-0655,Electronics,47.7,17.2,2.3,0.51,45
Mouse 0656,ELE-0656,Electronics,12.5,6.1,4.7,0.29,58
Board Game 0657,TOY-0657,Toys,29.4,34.0,7.8,0.81,51
Stuffed Animal 0658,TOY-0658,Toys,29.6,27.1,28.8,0.55,225
Mouse 0659,ELE-0659,Electronics,13.4,6.6,4.8,0.17,91
Webcam 0660,ELE-0660,Electronics,10.4,7.5,5.6,0.3,960
Picture Frame 0661,FRA-0661,Fragile,37.4,20.4,2.1,1.1,80
Monitor 0662,ELE-0662,Electronics,50.3,47.2,6.1,7.3,98
Jacket 0663,CLO-0663,Clothing,43.9,46.3,6.2,1.03,45
Stuffed Animal 0664,TOY-0664,Toys,21.5,19.9,22.1,0.56,176
Hardcover Book 0665,BOO-0665,Books,22.0,15.2,2.1,1.33,51
Shoes 0666,CLO-0666,Clothing,31.5,22.3,14.0,0.6,211
Laptop 0667,ELE-0667,Electronics,40.0,21.0,3.0,1.63,181
Puzzle 0668,TOY-0668,Toys,39.3,27.0,4.8,0.58,51
Webcam 0669,ELE-0669,Electronics,9.5,5.4,7.8,0.35,56
Jacket 0670,CLO-0670,Clothing,40.5,44.8,9.1,0.75,113
Hardcover Book 0671,BOO-0671,Books,27.4,19.4,3.7,1.09,111
Hardcover Book 0672,BOO-0672,Books,26.0,17.6,4.5,0.75,166
Laptop 0673,ELE-0673,Electronics,38.6,21.6,3.8,2.26,86
Mouse 0674,ELE-0674,Electronics,15.0,8.8,4.8,0.2,111
Hardcover Book 0675,BOO-0675,Books,28.2,23.8,4.3,1.42,119
Monitor 0676,ELE-0676,Electronics,61.7,37.6,8.8,4.98,199
Textbook 0677,BOO-0677,Books,29.3,27.9,5.4,1.2,48
Puzzle 0678,TOY-0678,Toys,40.3,33.0,5.1,0.58,82
Keyboard 0679,ELE-0679,Electronics,44.2,13.1,2.1,1.0,108
Puzzle 0680,TOY-0680,Toys,32.1,22.0,5.1,0.5,106
T-Shirt 0681,CLO-0681,Clothing,27.9,20.4,2.9,0.21,48
Hardcover Book 0682,BOO-0682,Books,26.7,16.5,3.7,1.06,55
Power Bank 0683,ELE-0683,Electronics,13.3,7.3,2.7,0.35,112
Headphones 0684,ELE-0684,Electronics,22.8,18.6,9.5,0.49,190
USB Cable 0685,ELE-0685,Electronics,21.8,14.0,3.6,0.24,110
Jeans 0686,CLO-0686,Clothing,36.1,34.1,5.6,0.64,40
Jeans 0687,CLO-0687,Clothing,37.7,32.4,3.6,0.56,44
Monitor 0688,ELE-0688,Electronics,60.1,43.6,6.5,5.96,109
Hardcover Book 0689,BOO-0689,Books,23.1,16.2,3.2,1.04,49
Jeans 0690,CLO-0690,Clothing,33.7,25.3,5.5,0.62,43
Glass Vase 0691,FRA-0691,Fragile,16.9,24.4,32.3,1.22,117
Jeans 0692,CLO-0692,Clothing,38.6,34.6,3.4,0.61,109
Keyboard 0693,ELE-0693,Electronics,47.0,14.7,2.1,0.82,435
Webcam 0694,ELE-0694,Electronics,8.5,7.4,7.9,0.37,90
Webcam 0695,ELE-0695,Electronics,9.2,5.4,7.7,0.33,100
USB Cable 0696,ELE-0696,Electronics,21.9,14.2,3.8,0.2,174
Jacket 0697,CLO-0697,Clothing,44.6,44.3,6.1,0.61,91
Board Game 0698,TOY-0698,Toys,34.3,34.3,7.7,0.7,56
Phone Case 0699,ELE-0699,Electronics,16.7,11.6,1.5,0.13,204
SSD Drive 0700,ELE-0700,Electronics,12.6,7.9,2.6,0.16,90
Puzzle 0701,TOY-0701,Toys,32.2,26.3,3.6,0.84,113
Socks 0702,CLO-0702,Clothing,24.3,12.9,2.1,0.1,113
T-Shirt 0703,CLO-0703,Clothing,25.4,23.3,3.9,0.29,205
Phone Case 0704,ELE-0704,Electronics,20.0,11.1,1.6,0.07,232
Paperback Book 0705,BOO-0705,Books,24.0,15.5,1.8,0.56,111
Hardcover Book 0706,BOO-0706,Books,24.9,19.2,2.8,0.8,89
Puzzle 0707,TOY-0707,Toys,35.2,31.7,4.4,0.68,100
Mouse 0708,ELE-0708,Electronics,14.9,9.1,3.1,0.11,81
USB Cable 0709,ELE-0709,Electronics,23.0,12.4,2.1,0.14,52
Textbook 0710,BOO-0710,Books,30.5,21.4,4.8,1.89,204
SSD Drive 0711,ELE-0711,Electronics,14.3,9.2,1.0,0.16,104
Monitor 0712,ELE-0712,Electronics,68.1,42.5,6.6,7.75,43
SSD Drive 0713,ELE-0713,Electronics,10.3,7.5,1.2,0.2,185
Board Game 0714,TOY-0714,Toys,36.8,27.9,8.0,0.93,87
Board Game 0715,TOY-0715,Toys,36.3,27.2,7.0,1.36,93
Textbook 0716,BOO-0716,Books,30.6,24.1,3.7,2.2,53
Glass Vase 0717,FRA-0717,Fragile,19.6,16.3,24.0,1.32,115
Magazine 0718,BOO-0718,Books,34.7,23.2,0.7,0.3,864
SSD Drive 0719,ELE-0719,Electronics,14.0,8.3,2.4,0.12,530
Hardcover Book 0720,BOO-0720,Books,21.3,16.9,4.2,0.7,112
Jeans 0721,CLO-0721,Clothing,31.0,31.4,5.1,0.51,107
Jeans 0722,CLO-0722,Clothing,34.9,34.9,3.5,0.59,88
Paperback Book 0723,BOO-0723,Books,22.6,15.5,2.4,0.51,109
Mouse 0724,ELE-0724,Electronics,12.4,8.8,3.8,0.12,109
Action Figure 0725,TOY-0725,Toys,20.1,16.8,8.1,0.22,202
